2024 ASI-047, t, pc, alt, p, temp, volt, gt, Lat, Lon, galt, sats, Ax, Ay, Az, Rx, Ry, Rz, state, Hum, Mx, My, Mz, dt
2024 ASI-047,250,1,-0.19,99172.84,14.41,11.21,0,0,0,0,0,-11.72,29.30,1083.98,1.23,-0.44,4.92,Boot,37.35,-32.40,85.35,0,r
2024 ASI-047,500,2,-0.22,99173.30,14.40,11.21,0,0,0,0,0,-7.32,13.18,1068.85,1.27,1.63,0.27,Boot,36.15,-33.00,85.05,0,r
2024 ASI-047,750,3,-0.16,99172.50,14.40,11.21,0,0,0,0,0,-26.37,33.69,1075.68,0.49,-1.50,-1.84,Boot,36.45,-33.00,84.45,0,r
2024 ASI-047,1000,4,-0.19,99172.88,14.41,11.19,0,0,0,0,0,-18.55,11.23,1077.15,-0.18,1.26,-0.02,Boot,35.55,-32.70,84.15,0,r
2024 ASI-047,1250,5,-0.11,99171.94,14.39,11.19,0,0,0,0,0,-17.09,23.44,1068.36,-0.25,-0.19,-2.42,Boot,36.60,-31.95,85.35,0,r
2024 ASI-047,1500,6,-0.31,99174.28,14.39,11.21,0,0,0,0,0,-2.93,20.51,1068.85,1.02,1.53,3.27,Boot,36.60,-32.40,85.35,0,r
2024 ASI-047,1750,7,-0.25,99173.56,14.38,11.21,0,0,0,0,0,-12.70,16.11,1083.50,-4.32,3.37,-1.28,Boot,36.00,-32.70,85.65,0,r
2024 ASI-047,2000,8,-0.23,99173.38,14.40,11.21,0,0,0,0,0,-2.44,22.46,1085.94,-3.40,2.02,0.41,Boot,36.00,-32.70,83.85,0,r
2024 ASI-047,2250,9,-0.21,99173.09,14.38,11.21,0,0,0,0,0,-14.16,33.20,1087.40,-1.46,-1.88,3.68,Boot,36.00,-32.70,83.85,0,r
2024 ASI-047,2500,10,-0.30,99174.17,14.37,11.20,0,0,0,0,0,-4.88,20.02,1066.41,-1.07,-0.91,-4.47,Boot,36.90,-33.00,85.80,0,r
2024 ASI-047,2750,11,-0.12,99172.13,14.39,11.28,0,0,0,0,0,-11.72,16.11,1073.24,-1.86,0.53,-1.11,Boot,36.45,-33.00,85.50,0,r
2024 ASI-047,3000,12,-0.20,99173.03,14.39,11.21,0,0,0,0,0,-17.09,22.46,1081.05,0.89,-0.35,-1.05,Boot,37.65,-32.55,84.00,0,r
2024 ASI-047,3250,13,-0.26,99173.77,14.38,11.20,0,0,0,0,0,-18.55,29.30,1075.68,0.83,-3.92,2.88,Boot,36.45,-32.55,85.80,0,r
2024 ASI-047,3500,14,-0.26,99173.66,14.39,11.22,0,0,0,0,0,-14.65,29.30,1082.03,1.42,0.32,0.66,Boot,36.00,-32.70,86.40,0,r
2024 ASI-047,3750,15,-0.30,99174.22,14.38,11.21,0,0,0,0,0,-20.51,25.88,1069.82,0.42,-1.50,1.42,Boot,36.30,-32.70,84.90,0,r
2024 ASI-047,4000,16,-0.13,99172.22,14.37,11.21,0,0,0,0,0,0.49,17.58,1081.54,0.85,1.36,0.84,Boot,36.90,-33.00,84.75,0,r
2024 ASI-047,4250,17,-0.18,99172.81,14.38,11.20,0,0,0,0,0,-16.60,29.30,1077.15,-1.66,0.87,-2.99,Boot,36.60,-31.65,84.90,0,r
2024 ASI-047,4500,18,-0.21,99173.19,14.39,11.20,0,0,0,0,0,0.98,32.71,1076.17,1.72,-2.12,1.14,Boot,35.55,-33.15,84.60,0,r
2024 ASI-047,4750,19,-0.34,99174.61,14.39,11.21,0,0,0,0,0,-21.00,24.41,1085.45,0.66,0.97,0.83,Boot,36.00,-32.40,85.65,0,r
